Parsing sort-1k-1M.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	SYSTEM	NEW_DPQS_REF	RADIX	
1000000	1	REVERSE___	SHUFFLE	 1.2370429	 1.3435299	 1.1820461	
1000000	1	DITHER____	SPIRAL	 23.1980798	 22.2199253	 29.2868159	
1000000	1	DITHER____	STAGGER	 46.1567789	 24.1314754	 20.7422416	
1000000	1	DITHER____	SAWTOTH	 2.6396482	 2.5935252	 9.8931829	
1000000	1	DITHER____	_RANDOM	 2.6396113	 2.5936847	 9.9013596	
1000000	1	DITHER____	PLATEAU	 2.6744737	 2.5946305	 10.0964723	
1000000	1	DITHER____	SHUFFLE	 7.1142447	 24.5139965	 14.5996272	
1000000	1	REVERSE_BA	SPIRAL	 26.6720061	 28.2311368	 26.2401343	
1000000	1	REVERSE_BA	STAGGER	 3.5733577	 3.6018728	 3.6178481	
1000000	1	REVERSE_BA	SAWTOTH	 0.6229182	 0.6330320	 0.6488900	
1000000	1	REVERSE_BA	_RANDOM	 0.6232003	 0.6528426	 0.6473196	
1000000	1	REVERSE_BA	PLATEAU	 0.6851263	 0.7096291	 0.6343277	
1000000	1	REVERSE_BA	SHUFFLE	 3.4597625	 3.4647715	 3.7488991	
1000000	1	REVERSE_FR	SPIRAL	 27.8917792	 28.5315129	 25.2900160	
1000000	1	REVERSE_FR	STAGGER	 3.6470154	 3.6556327	 3.5933801	
1000000	1	REVERSE_FR	SAWTOTH	 0.6325555	 0.6246863	 0.6507717	
1000000	1	REVERSE_FR	_RANDOM	 0.6378828	 0.6259066	 0.6425055	
1000000	1	REVERSE_FR	PLATEAU	 0.6704819	 0.6707281	 3.7113545	
1000000	1	REVERSE_FR	SHUFFLE	 1.0806951	 1.1022638	 1.0454412	
1000000	16	IDENT_____	SPIRAL	 22.1201252	 11.5815596	 19.6355081	
1000000	16	IDENT_____	STAGGER	 7.1532601	 7.1581025	 19.5450244	
1000000	16	IDENT_____	SAWTOTH	 11.7516205	 5.3369667	 9.9264850	
1000000	16	IDENT_____	_RANDOM	 18.7078226	! 10.4215031	 9.9118487	
1000000	16	IDENT_____	PLATEAU	 0.6780225	 0.7029265	 0.6293540	
1000000	16	IDENT_____	SHUFFLE	 15.8328871	 24.9664190	 23.8148573	
1000000	16	REVERSE___	SPIRAL	 35.1811850	 11.6968392	 20.0084103	
1000000	16	REVERSE___	STAGGER	 7.7498277	 7.8665065	 20.1512937	
1000000	16	REVERSE___	SAWTOTH	 11.0940048	 5.2949802	 10.0309275	
1000000	16	REVERSE___	_RANDOM	 19.6224076	! 10.3674900	 9.8999834	
1000000	16	REVERSE___	PLATEAU	 0.7179792	 0.6606280	 1.3487230	
1000000	16	REVERSE___	SHUFFLE	 19.6197462	 24.8018163	 21.4137935	
1000000	16	DITHER____	SPIRAL	 28.7491219	 11.3710445	 19.5792674	
1000000	16	DITHER____	STAGGER	 7.0990112	 7.1501699	 19.5057596	
1000000	16	DITHER____	SAWTOTH	 13.3202758	 5.3378079	 9.9021724	
1000000	16	DITHER____	_RANDOM	 19.5905578	! 11.0741142	 9.9109590	
1000000	16	DITHER____	PLATEAU	 2.9112895	 2.8032603	 9.9048311	
1000000	16	DITHER____	SHUFFLE	 19.7840660	 22.1159979	 24.7363337	
1000000	16	REVERSE_BA	SPIRAL	 33.4503776	 11.6481081	 19.4293916	
