Parsing sort-1k-1M.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_19_11_12	DPQ_21_04_24	RADIX	
10000	1	SORT______	SHUFFLE	 0.0013573	 0.0074986	 0.0062848	 0.0062787	 0.0039936	
10000	1	DITHER____	SPIRAL	 0.0013562	 0.3203194	 0.2544537	 0.2470234	 0.1829217	
10000	1	DITHER____	STAGGER	 0.0013530	 0.3623237	 0.4541932	 0.2015630	 0.1537158	
10000	1	DITHER____	SAWTOTH	 0.0013575	 0.0308807	 0.0411595	 0.0417571	 0.1097667	
10000	1	DITHER____	_RANDOM	 0.0013522	 0.0306956	 0.0412273	 0.0416388	 0.1098091	
10000	1	DITHER____	PLATEAU	 0.0013489	 0.0381853	 0.0411571	 0.0418557	 0.1099106	
10000	1	DITHER____	SHUFFLE	 0.0013318	 0.0744237	 0.0529837	 0.0565651	 0.1596217	
10000	1	REVERSE___	SPIRAL	 0.0013360	 0.2692232	 0.3248059	 0.2985606	 0.1875959	
10000	1	REVERSE___	STAGGER	 0.0013578	 0.0363210	 0.0406587	 0.0407021	 0.0518363	
10000	1	REVERSE___	SAWTOTH	 0.0013461	 0.0055567	 0.0036623	 0.0036540	 0.0059515	
10000	1	REVERSE___	_RANDOM	 0.0013507	 0.0055468	 0.0036588	 0.0036608	 0.0059583	
10000	1	REVERSE___	PLATEAU	 0.0013485	 0.0146968	 0.0046337	 0.0046214	 0.0057256	
10000	1	REVERSE___	SHUFFLE	 0.0013567	 0.0116807	 0.0129481	 0.0129125	 0.0122798	
10000	1	REVERSE_FR	SPIRAL	 0.0013481	 0.3107104	 0.2751698	 0.2537223	 0.1867333	
10000	1	REVERSE_FR	STAGGER	 0.0013485	 0.0473706	 0.0366143	 0.0367538	 0.0489703	
10000	1	REVERSE_FR	SAWTOTH	 0.0013435	 0.0055648	 0.0036537	 0.0036741	 0.0059433	
10000	1	REVERSE_FR	_RANDOM	 0.0013459	 0.0055679	 0.0036748	 0.0036603	 0.0059497	
10000	1	REVERSE_FR	PLATEAU	 0.0013446	 0.0342934	 0.0046554	 0.0046323	 0.0048500	
10000	1	REVERSE_FR	SHUFFLE	 0.0013520	 0.0085752	 0.0096156	 0.0096113	 0.0393511	
10000	1	REVERSE_BA	SPIRAL	 0.0013460	 0.3281330	 0.2972200	 0.3224809	 0.1863102	
10000	1	REVERSE_BA	STAGGER	 0.0013595	 0.0451641	 0.0359858	 0.0359626	 0.0370411	
10000	1	REVERSE_BA	SAWTOTH	 0.0013659	 0.0055392	 0.0036316	 0.0036320	 0.0059278	
10000	1	REVERSE_BA	_RANDOM	 0.0013593	 0.0055291	 0.0036615	 0.0036481	 0.0059502	
10000	1	REVERSE_BA	PLATEAU	 0.0013488	 0.0074675	 0.0062726	 0.0062822	 0.0039898	
10000	1	REVERSE_BA	SHUFFLE	 0.0013556	 0.0433057	 0.0369446	 0.0369216	 0.0440642	
10000	16	IDENT_____	SPIRAL	 0.0013350	 0.2930417	 0.2812925	 0.1000787	 0.1801941	
10000	16	IDENT_____	STAGGER	 0.0013332	 0.1557223	 0.1012966	 0.1007068	 0.1650281	
10000	16	IDENT_____	SAWTOTH	 0.0013591	 0.0903467	 0.1200537	 0.1264425	 0.1097448	
10000	16	IDENT_____	_RANDOM	 0.0013573	! 0.3148267	 0.2290201	 0.1923348	 0.1094100	
10000	16	IDENT_____	PLATEAU	 0.0013531	 0.0074930	 0.0062700	 0.0062493	 0.0039748	
10000	16	IDENT_____	SHUFFLE	 0.0013542	 0.2826327	 0.1809109	 0.1777716	 0.1978448	
10000	16	REVERSE___	SPIRAL	 0.0013585	 0.2909167	 0.2713115	 0.2580486	 0.1810530	
10000	16	REVERSE___	STAGGER	 0.0013544	 0.1878347	 0.1029786	 0.1028472	 0.1725161	
10000	16	REVERSE___	SAWTOTH	 0.0013574	 0.1071840	 0.0582906	 0.0641494	 0.1086036	
10000	16	REVERSE___	_RANDOM	 0.0013442	 0.2223320	 0.2210015	 0.2258619	 0.1100258	
10000	16	REVERSE___	PLATEAU	 0.0013430	 0.0124082	 0.0046496	 0.0046495	 0.0043695	
10000	16	REVERSE___	SHUFFLE	 0.0013430	 0.2454181	 0.2130220	 0.1901546	 0.1998246	
10000	16	SORT______	SPIRAL	 0.0013492	 0.0074917	 0.0062691	 0.0062583	 0.0039940	
10000	16	SORT______	STAGGER	 0.0013541	 0.0074486	 0.0062459	 0.0062637	 0.0039761	
10000	16	SORT______	SAWTOTH	 0.0013606	 0.0073912	 0.0063765	 0.0064238	 0.0057279	
10000	16	SORT______	_RANDOM	 0.0013560	 0.0073981	 0.0063879	 0.0063691	 0.0057310	
10000	16	SORT______	PLATEAU	 0.0013481	 0.0074965	 0.0062902	 0.0062412	 0.0039949	
10000	16	SORT______	SHUFFLE	 0.0013556	 0.0074999	 0.0062736	 0.0062645	 0.0039967	
10000	16	DITHER____	SPIRAL	 0.0013474	 0.3321847	 0.2927748	 0.1120484	 0.1771942	
10000	16	DITHER____	STAGGER	 0.0013266	 0.1791760	 0.1021606	 0.1022483	 0.1686789	
10000	16	DITHER____	SAWTOTH	 0.0013313	 0.1912275	 0.1769696	 0.1661776	 0.1097542	
10000	16	DITHER____	_RANDOM	 0.0013506	 0.2565477	 0.2435930	 0.2464691	 0.1099339	
10000	16	DITHER____	PLATEAU	 0.0013574	 0.0358193	 0.0412896	 0.0416593	 0.1095267	
10000	16	DITHER____	SHUFFLE	 0.0013465	 0.3183208	 0.1917596	 0.2014726	 0.2085521	
10000	16	REVERSE___	SPIRAL	 0.0013450	 0.2905956	 0.2718492	 0.2579759	 0.1810490	
10000	16	REVERSE___	STAGGER	 0.0013494	 0.1878062	 0.1030242	 0.1029316	 0.1725155	
10000	16	REVERSE___	SAWTOTH	 0.0013349	 0.1077035	 0.0583862	 0.0640098	 0.1086495	
10000	16	REVERSE___	_RANDOM	 0.0013527	 0.2225795	 0.2209806	 0.2251837	 0.1100403	
10000	16	REVERSE___	PLATEAU	 0.0013504	 0.0123654	 0.0046490	 0.0046432	 0.0043417	
10000	16	REVERSE___	SHUFFLE	 0.0013637	 0.2455648	 0.2127756	 0.1893425	 0.1996122	
10000	16	REVERSE_FR	SPIRAL	 0.0013573	 0.3396328	 0.2924484	 0.0979537	 0.1800406	
10000	16	REVERSE_FR	STAGGER	 0.0013335	 0.1795402	 0.1090250	 0.1089191	 0.1700495	
10000	16	REVERSE_FR	SAWTOTH	 0.0013174	 0.1344482	 0.0938105	 0.0964375	 0.1086968	
10000	16	REVERSE_FR	_RANDOM	 0.0013362	 0.2160497	 0.2324052	 0.2298789	 0.1099933	
10000	16	REVERSE_FR	PLATEAU	 0.0013607	 0.0342819	 0.0041848	 0.0041895	 0.0050945	
10000	16	REVERSE_FR	SHUFFLE	 0.0013574	 0.2962708	 0.2016295	 0.1875393	 0.1978725	
10000	16	REVERSE_BA	SPIRAL	 0.0013487	 0.2859351	 0.2968965	 0.2900278	 0.1807766	
10000	16	REVERSE_BA	STAGGER	 0.0013360	 0.1815274	 0.1114283	 0.1114423	 0.1683095	
10000	16	REVERSE_BA	SAWTOTH	 0.0013634	 0.1226708	 0.1213827	 0.1150860	 0.1094721	
10000	16	REVERSE_BA	_RANDOM	 0.0013444	 0.2184012	 0.2091338	 0.2047738	 0.1092855	
10000	16	REVERSE_BA	PLATEAU	 0.0013257	 0.0075271	 0.0063000	 0.0063079	 0.0040125	
10000	16	REVERSE_BA	SHUFFLE	 0.0013385	 0.2544351	 0.2493581	 0.2074905	 0.1993463	
10000	256	IDENT_____	SPIRAL	 0.0013517	 0.2139539	 0.0992095	 0.0990575	 0.1869710	
10000	256	IDENT_____	STAGGER	 0.0013548	 0.5994402	 0.5881878	 0.5703452	 0.1625561	
10000	256	IDENT_____	SAWTOTH	 0.0013592	 0.2085841	 0.1379507	 0.1379597	 0.1106800	
10000	256	IDENT_____	_RANDOM	 0.0013513	 0.5048520	 0.4710186	 0.3059546	 0.1101578	
10000	256	IDENT_____	PLATEAU	 0.0013485	 0.0074539	 0.0062697	 0.0062807	 0.0039871	
10000	256	IDENT_____	SHUFFLE	 0.0013425	 0.1878160	 0.0787417	 0.0705715	 0.1998182	
10000	256	REVERSE___	SPIRAL	 0.0013541	 0.2019540	 0.2946843	 0.1864098	 0.1870807	
10000	256	REVERSE___	STAGGER	 0.0013522	 0.6193304	 0.5989965	 0.5934696	 0.1647365	
10000	256	REVERSE___	SAWTOTH	 0.0013389	 0.1977713	 0.1384540	 0.1374265	 0.1140355	
10000	256	REVERSE___	_RANDOM	 0.0013559	 0.5334653	 0.4920683	 0.3885225	 0.1102461	
10000	256	REVERSE___	PLATEAU	 0.0013597	 0.0146121	 0.0049976	 0.0049990	 0.0047009	
10000	256	REVERSE___	SHUFFLE	 0.0013570	 0.1513297	 0.0849126	 0.0855737	 0.1958798	
10000	256	SORT______	SPIRAL	 0.0013543	 0.0074980	 0.0062624	 0.0062673	 0.0040014	
10000	256	SORT______	STAGGER	 0.0013382	 0.0074836	 0.0062912	 0.0062938	 0.0039972	
10000	256	SORT______	SAWTOTH	 0.0013486	 0.0074542	 0.0074408	 0.0074216	 0.0057077	
10000	256	SORT______	_RANDOM	 0.0013492	 0.0074403	 0.0074274	 0.0074307	 0.0056771	
10000	256	SORT______	PLATEAU	 0.0013475	 0.0075061	 0.0062802	 0.0062373	 0.0039887	
10000	256	SORT______	SHUFFLE	 0.0013518	 0.0074625	 0.0063000	 0.0062887	 0.0039902	
10000	256	DITHER____	SPIRAL	 0.0013462	 0.2570533	 0.2806182	 0.1395423	 0.1821095	
10000	256	DITHER____	STAGGER	 0.0013508	 0.6464830	 0.6130756	 0.5971015	 0.1672633	
10000	256	DITHER____	SAWTOTH	 0.0013531	 0.3582165	 0.4117489	 0.2536173	 0.1179078	
10000	256	DITHER____	_RANDOM	 0.0013516	 0.5254055	 0.4928522	 0.3352929	 0.1136797	
10000	256	DITHER____	PLATEAU	 0.0013369	 0.0387170	 0.0349272	 0.0274607	 0.1182389	
10000	256	DITHER____	SHUFFLE	 0.0013462	 0.2134111	 0.1082699	 0.0925238	 0.2005035	
10000	256	REVERSE___	SPIRAL	 0.0013566	 0.2019725	 0.2949733	 0.1880345	 0.1873034	
10000	256	REVERSE___	STAGGER	 0.0013667	 0.6196336	 0.5987075	 0.5934496	 0.1645832	
10000	256	REVERSE___	SAWTOTH	 0.0013556	 0.1979599	 0.1374425	 0.1374656	 0.1140841	
10000	256	REVERSE___	_RANDOM	 0.0013569	 0.5333579	 0.4919394	 0.3886187	 0.1101964	
10000	256	REVERSE___	PLATEAU	 0.0013462	 0.0146427	 0.0050033	 0.0049936	 0.0047237	
10000	256	REVERSE___	SHUFFLE	 0.0013504	 0.1513235	 0.0849427	 0.0855555	 0.1961427	
10000	256	REVERSE_FR	SPIRAL	 0.0013562	 0.2130996	 0.2266854	 0.2252175	 0.1868779	
10000	256	REVERSE_FR	STAGGER	 0.0013538	 0.6468141	 0.6023449	 0.5785261	 0.1641661	
10000	256	REVERSE_FR	SAWTOTH	 0.0013267	 0.2014535	 0.1433764	 0.1432764	 0.1142079	
