Parsing sort-0.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_19_05_01	DPQ_19_08_09	
50	15	REVERSE___	SPIRAL	 0.0000158	 0.0002146	 0.0003202	 0.0003245	
50	15	REVERSE___	STAGGER	 0.0000159	 0.0002946	 0.0004001	 0.0003983	
50	15	REVERSE___	SAWTOTH	 0.0000159	 0.0002512	 0.0003319	 0.0003270	
50	15	REVERSE___	_RANDOM	 0.0000158	 0.0002893	 0.0003197	 0.0003086	
50	15	REVERSE___	PLATEAU	 0.0000158	 0.0001872	 0.0000447	 0.0000440	
50	15	REVERSE___	SHUFFLE	 0.0000158	 0.0002355	 0.0002990	 0.0003203	
50	15	REVERSE_FR	SPIRAL	 0.0000158	 0.0002742	 0.0002498	 0.0002558	
50	15	REVERSE_FR	STAGGER	 0.0000158	 0.0002755	 0.0003656	 0.0003695	
50	15	REVERSE_FR	SAWTOTH	 0.0000159	 0.0002759	 0.0003604	 0.0003532	
50	15	REVERSE_FR	_RANDOM	 0.0000158	 0.0002913	 0.0003260	 0.0003417	
50	15	REVERSE_FR	PLATEAU	 0.0000158	 0.0001358	 0.0001335	 0.0000507	
50	15	REVERSE_FR	SHUFFLE	 0.0000158	 0.0002042	 0.0002395	 0.0002378	
50	15	REVERSE_BA	SPIRAL	 0.0000158	 0.0003209	 0.0003581	 0.0003582	
50	15	REVERSE_BA	STAGGER	 0.0000158	 0.0003473	 0.0003294	 0.0003915	
50	15	REVERSE_BA	SAWTOTH	 0.0000158	 0.0003271	 0.0003308	 0.0003280	
50	15	REVERSE_BA	_RANDOM	 0.0000159	 0.0003105	 0.0003297	 0.0003515	
50	15	REVERSE_BA	PLATEAU	 0.0000158	 0.0000558	 0.0000271	 0.0000290	
50	15	REVERSE_BA	SHUFFLE	 0.0000159	 0.0001858	 0.0002771	 0.0003060	
100	1	IDENT_____	SPIRAL	 0.0000166	 0.0007674	 0.0007881	 0.0007873	
100	1	IDENT_____	STAGGER	 0.0000166	 0.0007776	 0.0007736	 0.0009219	
100	1	IDENT_____	SAWTOTH	 0.0000166	 0.0000568	 0.0000342	 0.0000353	
100	1	IDENT_____	_RANDOM	 0.0000166	 0.0000569	 0.0000343	 0.0000353	
100	1	IDENT_____	PLATEAU	 0.0000166	 0.0000627	 0.0000484	 0.0000509	
100	1	IDENT_____	SHUFFLE	 0.0000166	 0.0001206	 0.0000484	 0.0000508	
100	1	REVERSE___	SPIRAL	 0.0000166	 0.0006576	 0.0008403	 0.0008309	
100	1	REVERSE___	STAGGER	 0.0000166	 0.0006906	 0.0008697	 0.0010706	
100	1	REVERSE___	SAWTOTH	 0.0000165	 0.0000570	 0.0000344	 0.0000354	
100	1	REVERSE___	_RANDOM	 0.0000165	 0.0000569	 0.0000344	 0.0000354	
100	1	REVERSE___	PLATEAU	 0.0000166	 0.0000735	 0.0000410	 0.0000402	
100	1	REVERSE___	SHUFFLE	 0.0000166	 0.0004066	 0.0001015	 0.0001048	
100	1	SORT______	SPIRAL	 0.0000165	 0.0001206	 0.0000485	 0.0000510	
100	1	SORT______	STAGGER	 0.0000166	 0.0001214	 0.0000414	 0.0000409	
100	1	SORT______	SAWTOTH	 0.0000166	 0.0000569	 0.0000342	 0.0000353	
100	1	SORT______	_RANDOM	 0.0000166	 0.0000577	 0.0000343	 0.0000353	
100	1	SORT______	PLATEAU	 0.0000166	 0.0000628	 0.0000485	 0.0000508	
100	1	SORT______	SHUFFLE	 0.0000166	 0.0001180	 0.0000480	 0.0000509	
100	1	DITHER____	SPIRAL	 0.0000166	 0.0006747	 0.0007422	 0.0007429	
100	1	DITHER____	STAGGER	 0.0000166	 0.0007582	 0.0007674	 0.0009067	
100	1	DITHER____	SAWTOTH	 0.0000166	 0.0003374	 0.0004935	 0.0003908	
100	1	DITHER____	_RANDOM	 0.0000166	 0.0003368	 0.0004864	 0.0003911	
100	1	DITHER____	PLATEAU	 0.0000166	 0.0003293	 0.0005287	 0.0004979	
100	1	DITHER____	SHUFFLE	 0.0000166	 0.0002142	 0.0003332	 0.0003946	
100	1	REVERSE___	SPIRAL	 0.0000165	 0.0006583	 0.0008407	 0.0008272	
100	1	REVERSE___	STAGGER	 0.0000166	 0.0006971	 0.0008698	 0.0010708	
100	1	REVERSE___	SAWTOTH	 0.0000166	 0.0000569	 0.0000343	 0.0000353	
100	1	REVERSE___	_RANDOM	 0.0000166	 0.0000568	 0.0000343	 0.0000353	
100	1	REVERSE___	PLATEAU	 0.0000166	 0.0000729	 0.0000408	 0.0000402	
100	1	REVERSE___	SHUFFLE	 0.0000166	 0.0004064	 0.0001014	 0.0001046	
100	1	REVERSE_FR	SPIRAL	 0.0000166	 0.0014097	 0.0007054	 0.0006706	
100	1	REVERSE_FR	STAGGER	 0.0000166	 0.0007987	 0.0007722	 0.0008638	
100	1	REVERSE_FR	SAWTOTH	 0.0000165	 0.0000570	 0.0000343	 0.0000354	
100	1	REVERSE_FR	_RANDOM	 0.0000166	 0.0000569	 0.0000343	 0.0000353	
100	1	REVERSE_FR	PLATEAU	 0.0000166	 0.0000640	 0.0000504	 0.0000499	
100	1	REVERSE_FR	SHUFFLE	 0.0000166	 0.0004102	 0.0000877	 0.0000865	
100	1	REVERSE_BA	SPIRAL	 0.0000166	 0.0006955	 0.0009906	 0.0010129	
100	1	REVERSE_BA	STAGGER	 0.0000166	 0.0006748	 0.0008364	 0.0010809	
100	1	REVERSE_BA	SAWTOTH	 0.0000166	 0.0000567	 0.0000342	 0.0000326	
100	1	REVERSE_BA	_RANDOM	 0.0000166	 0.0000568	 0.0000343	 0.0000353	
100	1	REVERSE_BA	PLATEAU	 0.0000166	 0.0000628	 0.0000481	 0.0000508	
100	1	REVERSE_BA	SHUFFLE	 0.0000166	 0.0002208	 0.0003817	 0.0002825	
100	4	IDENT_____	SPIRAL	 0.0000166	 0.0013506	 0.0007404	 0.0007482	
100	4	IDENT_____	STAGGER	 0.0000166	 0.0007271	 0.0007980	 0.0011904	
100	4	IDENT_____	SAWTOTH	 0.0000166	 0.0002850	 0.0004518	 0.0004377	
100	4	IDENT_____	_RANDOM	 0.0000166	! 0.0003988	 0.0002969	 0.0002795	
100	4	IDENT_____	PLATEAU	 0.0000166	 0.0000645	 0.0000482	 0.0000508	
100	4	IDENT_____	SHUFFLE	 0.0000166	 0.0006619	 0.0006851	 0.0006879	
100	4	REVERSE___	SPIRAL	 0.0000166	 0.0005348	 0.0008424	 0.0008777	
100	4	REVERSE___	STAGGER	 0.0000166	 0.0006434	 0.0008544	 0.0008210	
100	4	REVERSE___	SAWTOTH	 0.0000166	 0.0002642	 0.0002765	 0.0002443	
100	4	REVERSE___	_RANDOM	 0.0000166	 0.0003767	 0.0003759	 0.0003882	
100	4	REVERSE___	PLATEAU	 0.0000166	 0.0000727	 0.0000470	 0.0000477	
100	4	REVERSE___	SHUFFLE	 0.0000166	! 0.0007003	 0.0007305	 0.0007397	
100	4	SORT______	SPIRAL	 0.0000166	 0.0001205	 0.0000484	 0.0000508	
100	4	SORT______	STAGGER	 0.0000166	 0.0001254	 0.0000509	 0.0000527	
100	4	SORT______	SAWTOTH	 0.0000166	 0.0002181	 0.0000486	 0.0000486	
100	4	SORT______	_RANDOM	 0.0000166	 0.0002027	 0.0000478	 0.0000492	
100	4	SORT______	PLATEAU	 0.0000166	 0.0000644	 0.0000484	 0.0000509	
100	4	SORT______	SHUFFLE	 0.0000166	 0.0001181	 0.0000478	 0.0000511	
100	4	DITHER____	SPIRAL	 0.0000166	 0.0010666	 0.0007291	 0.0007286	
100	4	DITHER____	STAGGER	 0.0000166	 0.0007290	 0.0007953	 0.0011842	
100	4	DITHER____	SAWTOTH	 0.0000166	 0.0004912	 0.0010610	 0.0006867	
100	4	DITHER____	_RANDOM	 0.0000166	 0.0004468	 0.0005023	 0.0005019	
100	4	DITHER____	PLATEAU	 0.0000166	 0.0002853	 0.0005110	 0.0004999	
100	4	DITHER____	SHUFFLE	 0.0000166	! 0.0007503	 0.0007432	 0.0007227	
100	4	REVERSE___	SPIRAL	 0.0000166	 0.0005345	 0.0008451	 0.0008718	
100	4	REVERSE___	STAGGER	 0.0000166	 0.0006496	 0.0008542	 0.0008220	
100	4	REVERSE___	SAWTOTH	 0.0000166	 0.0002667	 0.0002769	 0.0002442	
100	4	REVERSE___	_RANDOM	 0.0000166	 0.0003799	 0.0003768	 0.0003884	
100	4	REVERSE___	PLATEAU	 0.0000166	 0.0000727	 0.0000470	 0.0000476	
100	4	REVERSE___	SHUFFLE	 0.0000166	! 0.0007000	 0.0007289	 0.0007384	
100	4	REVERSE_FR	SPIRAL	 0.0000166	 0.0006480	 0.0008748	 0.0008960	
100	4	REVERSE_FR	STAGGER	 0.0000166	 0.0007412	 0.0009106	 0.0009043	
100	4	REVERSE_FR	SAWTOTH	 0.0000166	 0.0002696	 0.0003615	 0.0004341	
100	4	REVERSE_FR	_RANDOM	 0.0000198	! 0.0003851	 0.0002891	 0.0002908	
100	4	REVERSE_FR	PLATEAU	 0.0000166	 0.0000752	 0.0000565	 0.0000570	
100	4	REVERSE_FR	SHUFFLE	 0.0000166	 0.0006429	 0.0006420	 0.0006594	
100	4	REVERSE_BA	SPIRAL	 0.0000166	 0.0006795	 0.0011174	 0.0009891	
100	4	REVERSE_BA	STAGGER	 0.0000165	 0.0007478	 0.0008639	 0.0008859	
100	4	REVERSE_BA	SAWTOTH	 0.0000166	 0.0003048	 0.0004428	 0.0004247	
100	4	REVERSE_BA	_RANDOM	 0.0000166	 0.0003792	 0.0003236	 0.0002687	
100	4	REVERSE_BA	PLATEAU	 0.0000165	 0.0000646	 0.0000486	 0.0000508	
100	4	REVERSE_BA	SHUFFLE	 0.0000166	 0.0006882	 0.0008167	 0.0007857	
100	7	IDENT_____	SPIRAL	 0.0000166	 0.0009652	 0.0006296	 0.0006364	
100	7	IDENT_____	STAGGER	 0.0000166	 0.0007162	 0.0008468	 0.0009784	
100	7	IDENT_____	SAWTOTH	 0.0000165	 0.0005871	 0.0005163	 0.0005199	
100	7	IDENT_____	_RANDOM	 0.0000166	 0.0005790	 0.0005374	 0.0005173	
100	7	IDENT_____	PLATEAU	 0.0000166	 0.0000661	 0.0000484	 0.0000508	
100	7	IDENT_____	SHUFFLE	 0.0000166	 0.0005900	 0.0004241	 0.0004295	
100	7	REVERSE___	SPIRAL	 0.0000166	 0.0005348	 0.0008044	 0.0008233	
100	7	REVERSE___	STAGGER	 0.0000166	 0.0006946	 0.0009095	 0.0008722	
100	7	REVERSE___	SAWTOTH	 0.0000166	 0.0005559	 0.0004869	 0.0004871	
100	7	REVERSE___	_RANDOM	 0.0000165	 0.0005441	 0.0005506	 0.0005437	
100	7	REVERSE___	PLATEAU	 0.0000166	 0.0000901	 0.0000490	 0.0000509	
100	7	REVERSE___	SHUFFLE	 0.0000166	 0.0006489	 0.0007412	 0.0007399	
100	7	SORT______	SPIRAL	 0.0000166	 0.0001208	 0.0000484	 0.0000507	
100	7	SORT______	STAGGER	 0.0000166	 0.0001228	 0.0000509	 0.0000530	
100	7	SORT______	SAWTOTH	 0.0000166	 0.0001278	 0.0000491	 0.0000507	
100	7	SORT______	_RANDOM	 0.0000166	 0.0001812	 0.0000488	 0.0000497	
100	7	SORT______	PLATEAU	 0.0000166	 0.0000659	 0.0000485	 0.0000509	
100	7	SORT______	SHUFFLE	 0.0000166	 0.0001205	 0.0000484	 0.0000508	
100	7	DITHER____	SPIRAL	 0.0000166	 0.0009521	 0.0006106	 0.0006290	
100	7	DITHER____	STAGGER	 0.0000166	 0.0007155	 0.0008486	 0.0009840	
100	7	DITHER____	SAWTOTH	 0.0000166	 0.0005148	 0.0006037	 0.0006103	
100	7	DITHER____	_RANDOM	 0.0000166	 0.0006557	 0.0006576	 0.0006733	
100	7	DITHER____	PLATEAU	 0.0000166	 0.0003286	 0.0003680	 0.0004830	
100	7	DITHER____	SHUFFLE	 0.0000165	 0.0006636	 0.0006395	 0.0006297	
100	7	REVERSE___	SPIRAL	 0.0000166	 0.0005337	 0.0008029	 0.0008203	
100	7	REVERSE___	STAGGER	 0.0000166	 0.0006987	 0.0009095	 0.0008719	
100	7	REVERSE___	SAWTOTH	 0.0000166	 0.0005558	 0.0004880	 0.0004825	
