Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11_27	DPQ_18_11I	RADIX	MARLIN	
1000	1	REVERSE_FR	SHUFFLE	 0.0001523	 0.0006668	 0.0078634	 0.0063150	 0.0074670	 0.0028328	 0.0056955	
1000	1	REVERSE_BA	STAGGER	 0.0001521	 0.0027606	 0.0185448	 0.0198500	 0.0182838	 0.0028605	 0.0072904	
1000	1	REVERSE_BA	SAWTOTH	 0.0001549	 0.0003820	 0.0004653	 0.0004570	 0.0004656	 0.0005265	 0.0034106	
1000	1	REVERSE_BA	_RANDOM	 0.0001520	 0.0003870	 0.0004683	 0.0004609	 0.0004687	 0.0004775	 0.0034350	
1000	1	REVERSE_BA	PLATEAU	 0.0001520	 0.0003904	 0.0006865	 0.0007746	 0.0006952	 0.0006301	 0.0036055	
1000	1	REVERSE_BA	SHUFFLE	 0.0001520	 0.0030742	 0.0070111	 0.0088887	 0.0071744	 0.0029566	 0.0057008	
1000	1	SORT______	STAGGER	 0.0001520	 0.0005180	 0.0022634	 0.0023861	 0.0024654	 0.0007219	 0.0027609	
1000	1	SORT______	SAWTOTH	 0.0001519	 0.0003896	 0.0004680	 0.0004676	 0.0004682	 0.0005331	 0.0034480	
1000	1	SORT______	_RANDOM	 0.0001520	 0.0004217	 0.0004681	 0.0004722	 0.0004693	 0.0005289	 0.0034203	
1000	1	SORT______	PLATEAU	 0.0001538	 0.0003890	 0.0006815	 0.0007765	 0.0006822	 0.0006304	 0.0035899	
1000	1	SORT______	SHUFFLE	 0.0001518	 0.0003923	 0.0019788	 0.0022869	 0.0020346	 0.0006307	 0.0027536	
1000	1	DITHER____	STAGGER	 0.0001519	 0.0093909	 0.0186408	 0.0195689	 0.0186149	 0.0158876	 0.0085912	
1000	1	DITHER____	SAWTOTH	 0.0001519	 0.0028937	 0.0028764	 0.0030162	 0.0029854	 0.0128574	 0.0171940	
1000	1	DITHER____	_RANDOM	 0.0001522	 0.0027095	 0.0028369	 0.0031107	 0.0030766	 0.0125422	 0.0172090	
1000	1	DITHER____	PLATEAU	 0.0001595	 0.0033405	 0.0033188	 0.0031862	 0.0032403	 0.0134246	 0.0172370	
1000	1	DITHER____	SHUFFLE	 0.0001522	 0.0048085	 0.0034370	 0.0037419	 0.0035532	 0.0160199	 0.0083837	
1000	4	IDENT_____	STAGGER	 0.0001527	 0.0070459	 0.0163987	 0.0149003	 0.0162931	 0.0066512	 0.0104412	
1000	4	IDENT_____	SAWTOTH	 0.0001518	! 0.0041714	 0.0021623	 0.0022773	 0.0021306	 0.0126067	 0.0175694	
1000	4	IDENT_____	_RANDOM	 0.0001519	 0.0033210	 0.0022593	 0.0020775	 0.0026025	 0.0127797	 0.0193435	
1000	4	IDENT_____	PLATEAU	 0.0001519	 0.0003904	 0.0007820	 0.0008003	 0.0007847	 0.0006343	 0.0036113	
1000	4	IDENT_____	SHUFFLE	 0.0001525	 0.0097330	 0.0122348	 0.0092906	! 0.0137336	 0.0176013	 0.0168247	
1000	4	REVERSE___	STAGGER	 0.0001522	 0.0074132	 0.0175978	 0.0167321	 0.0177300	 0.0068726	 0.0159584	
1000	4	REVERSE___	SAWTOTH	 0.0001519	 0.0034089	! 0.0029167	 0.0020339	 0.0022245	 0.0126263	 0.0173469	
1000	4	REVERSE___	_RANDOM	 0.0001525	 0.0032093	! 0.0406077	 0.0024259	 0.0021567	 0.0127727	 0.0197058	
1000	4	REVERSE___	PLATEAU	 0.0001520	 0.0008905	 0.0007788	 0.0007864	 0.0007776	 0.0005527	 0.0038347	
1000	4	REVERSE___	SHUFFLE	 0.0001522	 0.0130130	 0.0110785	! 0.0117080	! 0.0142151	 0.0180619	 0.0191427	
1000	4	REVERSE_FR	STAGGER	 0.0001523	 0.0071162	 0.0167485	 0.0174069	 0.0179000	 0.0073456	 0.0135883	
1000	4	REVERSE_FR	SAWTOTH	 0.0001517	 0.0034692	 0.0025578	 0.0023658	 0.0025086	 0.0127743	 0.0186331	
1000	4	REVERSE_FR	_RANDOM	 0.0001525	! 0.0093978	 0.0025744	 0.0023107	 0.0022643	 0.0127849	 0.0195949	
1000	4	REVERSE_FR	PLATEAU	 0.0001528	 0.0019681	 0.0007987	 0.0007183	 0.0008044	 0.0004053	 0.0038488	
1000	4	REVERSE_FR	SHUFFLE	 0.0001519	 0.0116704	! 0.0134437	 0.0088463	 0.0109341	 0.0175311	 0.0181222	
1000	4	REVERSE_BA	STAGGER	 0.0001519	 0.0072076	 0.0135890	 0.0130945	 0.0133058	 0.0081862	 0.0130297	
1000	4	REVERSE_BA	SAWTOTH	 0.0001520	 0.0036383	 0.0020149	 0.0020433	 0.0020530	 0.0125430	 0.0171969	
1000	4	REVERSE_BA	_RANDOM	 0.0001523	 0.0031896	 0.0025146	 0.0023836	 0.0023058	 0.0128111	 0.0195442	
1000	4	REVERSE_BA	PLATEAU	 0.0001519	 0.0003916	 0.0007814	 0.0008031	 0.0007808	 0.0006138	 0.0036133	
1000	4	REVERSE_BA	SHUFFLE	 0.0001553	 0.0117613	 0.0139413	 0.0129330	 0.0139774	 0.0176107	 0.0175923	
1000	4	SORT______	STAGGER	 0.0001520	 0.0003895	 0.0022763	 0.0023316	 0.0023926	 0.0007087	 0.0027750	
1000	4	SORT______	SAWTOTH	 0.0001520	 0.0004016	 0.0021540	 0.0019782	 0.0022795	 0.0006404	 0.0035940	
1000	4	SORT______	_RANDOM	 0.0001520	 0.0004010	 0.0030104	 0.0014636	 0.0030074	 0.0006631	 0.0035142	
1000	4	SORT______	PLATEAU	 0.0001519	 0.0003915	 0.0007811	 0.0008008	 0.0007836	 0.0008066	 0.0035890	
1000	4	SORT______	SHUFFLE	 0.0001520	 0.0003907	 0.0019785	 0.0021753	 0.0020363	 0.0008103	 0.0027785	
1000	4	DITHER____	STAGGER	 0.0001522	 0.0068540	 0.0163565	 0.0149989	 0.0162426	 0.0067273	 0.0104307	
1000	4	DITHER____	SAWTOTH	 0.0001520	 0.0039362	 0.0033531	 0.0031923	 0.0034420	 0.0124915	 0.0186712	
1000	4	DITHER____	_RANDOM	 0.0001523	 0.0037334	 0.0031368	 0.0030290	 0.0037717	 0.0126563	 0.0256120	
