
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 60
lreps: 9 with reps: 3

Warmup length: 10001 reps: 60
lreps: 9 with reps: 3

total: 600120
  End warm up (21060 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (min time + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of       2.00 % , convergence at       4.00 sigma with max test duration =    3000.00 ms.


COLUMNS:Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11I	DPQ_18_11P	RADIX	MARLIN	[DPQ_11 % DPQ_18_11_21]

lreps: 9 with reps: 15695

50 64  SHUFFLE REVERSE___	   0.000014	   0.000231	   0.000637	   0.000241	   0.000373	!  0.000227	   0.000654	     36.26 % 
50 64  STAGGER REVERSE_FR	   0.000014	   0.000282	   0.000398	   0.000422	   0.000364	   0.001758	   0.000516	     70.85 % 
50 64  SAWTOTH REVERSE_FR	   0.000014	   0.000196	   0.000235	   0.000278	   0.000196	   0.000241	   0.000379	     83.38 % 
50 64  _RANDOM REVERSE_FR	   0.000014	   0.000368	   0.000407	   0.000343	   0.000314	   0.001783	   0.000540	     90.47 % 
50 64  PLATEAU REVERSE_FR	   0.000014	   0.000196	   0.000235	   0.000278	   0.000196	   0.000241	   0.000379	     83.35 % 
50 64  SHUFFLE REVERSE_FR	   0.000014	   0.000207	   0.000256	   0.000266	   0.000196	   0.000295	   0.000424	     80.86 % 
50 64  STAGGER REVERSE_BA	   0.000014	   0.000303	   0.000391	   0.000308	   0.000357	   0.001757	   0.000557	     77.53 % 
50 64  SAWTOTH REVERSE_BA	   0.000014	   0.000160	   0.000258	   0.000203	   0.000162	   0.000256	   0.000377	     61.98 % 
50 64  _RANDOM REVERSE_BA	   0.000014	   0.000336	   0.000415	   0.000352	   0.000336	   0.001787	   0.000506	     80.96 % 
50 64  PLATEAU REVERSE_BA	   0.000014	   0.000159	   0.000258	   0.000203	   0.000162	   0.000256	   0.000377	     61.59 % 
50 64  SHUFFLE REVERSE_BA	   0.000014	   0.000191	   0.000265	   0.000219	   0.000172	   0.000306	   0.000422	     72.05 % 
50 64  STAGGER SORT______	   0.000014	   0.000116	   0.000111	   0.000124	   0.000078	   0.000101	   0.000137	    105.24 % .!.
50 64  SAWTOTH SORT______	   0.000014	   0.000113	   0.000111	   0.000108	   0.000078	   0.000101	   0.000137	    102.15 % ..
50 64  _RANDOM SORT______	   0.000014	   0.000113	   0.000111	   0.000119	   0.000078	   0.000103	   0.000137	    102.64 % ..
50 64  PLATEAU SORT______	   0.000014	   0.000113	   0.000111	   0.000108	   0.000078	   0.000101	   0.000137	    102.19 % ..
50 64  SHUFFLE SORT______	   0.000014	   0.000113	   0.000110	   0.000108	   0.000078	   0.000101	   0.000137	    102.20 % ..
50 64  STAGGER DITHER____	   0.000014	   0.000299	   0.000390	   0.000295	   0.000355	   0.001736	   0.000531	     76.84 % 
50 64  SAWTOTH DITHER____	   0.000014	   0.000211	   0.000137	   0.000194	   0.000124	   0.000611	   0.000244	    154.23 % .!!!.
50 64  _RANDOM DITHER____	   0.000014	   0.000372	   0.000410	   0.000339	   0.000329	   0.001776	   0.000512	     90.80 % 
50 64  PLATEAU DITHER____	   0.000014	   0.000211	   0.000137	   0.000194	   0.000124	   0.000612	   0.000244	    154.30 % .!!!.
50 64  SHUFFLE DITHER____	   0.000014	   0.000188	   0.000122	   0.000144	   0.000109	   0.000617	   0.000246	    154.92 % .!!!.
lreps: 9 with reps: 6666

100 1  STAGGER IDENT_____	   0.000020	   0.000844	   0.000766	   0.000658	   0.000537	   0.000387	   0.000424	    110.12 % .!!.
100 1  SAWTOTH IDENT_____	   0.000020	   0.000105	   0.000108	   0.000104	   0.000138	   0.000120	   0.000268	     97.63 % 
100 1  _RANDOM IDENT_____	   0.000020	   0.000105	   0.000108	   0.000104	   0.000138	   0.000120	   0.000269	     97.80 % 
100 1  PLATEAU IDENT_____	   0.000020	   0.000106	   0.000097	   0.000095	   0.000138	   0.000120	   0.000254	    108.82 % .!.
100 1  SHUFFLE IDENT_____	   0.000020	   0.000192	   0.000234	   0.000230	   0.000138	   0.000120	   0.000232	     82.11 % 
100 1  STAGGER REVERSE___	   0.000020	   0.000726	   0.001225	   0.001100	   0.001073	   0.000456	   0.001379	     59.28 % 
100 1  SAWTOTH REVERSE___	   0.000020	   0.000105	   0.000108	   0.000104	   0.000138	   0.000120	   0.000268	     97.85 % 
100 1  _RANDOM REVERSE___	   0.000020	   0.000105	   0.000108	   0.000104	   0.000138	   0.000120	   0.000268	     97.80 % 
100 1  PLATEAU REVERSE___	   0.000020	   0.000104	   0.000110	   0.000105	   0.000194	   0.000119	   0.000290	     94.43 % 
100 1  SHUFFLE REVERSE___	   0.000020	   0.000419	   0.000458	   0.000445	   0.001241	   0.000185	   0.001217	     91.42 % 
100 1  STAGGER REVERSE_FR	   0.000020	   0.000832	   0.000922	   0.000893	   0.000905	   0.000424	   0.000939	     90.25 % 
