
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 60
lreps: 9 with reps: 3

Warmup length: 10001 reps: 60
lreps: 9 with reps: 3

total: 600120
  End warm up (21060 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (min time + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of       2.00 % , convergence at       4.00 sigma with max test duration =   10000.00 ms.


COLUMNS:Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11I	DPQ_18_11P	RADIX	MARLIN	[DPQ_11 % DPQ_18_11_21]

lreps: 1 with reps: 90

50000 1024  STAGGER REVERSE___	   0.011642	   4.468292	   5.671624	   5.252673	   5.679539	   1.570946	   3.478184	     78.78 % 
50000 1024  SAWTOTH REVERSE___	   0.011651	   1.658126	   0.702106	   0.740363	   1.019278	   1.282532	   2.677182	    236.16 % .!!!!!.
50000 1024  _RANDOM REVERSE___	   0.011644	   4.890479	   5.482598	   5.112612	   5.396598	   1.450627	   8.828403	     89.20 % 
50000 1024  PLATEAU REVERSE___	   0.011656	   0.064868	   0.017788	   0.017154	   0.017807	   0.014904	   0.278195	    364.68 % .!!!!!.
50000 1024  SHUFFLE REVERSE___	   0.011663	   1.281636	!  0.876524	!  0.752346	!  0.899859	   1.688286	   2.122277	    146.22 % .!!!.
50000 1024  STAGGER REVERSE_FR	   0.011658	   4.524380	   5.612890	   5.135319	   5.609226	   1.556066	   3.176131	     80.61 % 
50000 1024  SAWTOTH REVERSE_FR	   0.011644	   1.612366	   0.673395	   0.718326	   0.732236	   1.270047	   2.258522	    239.44 % .!!!!!.
50000 1024  _RANDOM REVERSE_FR	   0.011643	   4.905841	   5.436237	   5.121861	   5.360914	   1.452134	   8.835048	     90.24 % 
50000 1024  PLATEAU REVERSE_FR	   0.011645	   0.192440	   0.017916	   0.017209	   0.017903	   0.014980	   0.280815	   1074.13 % .!!!!!.
50000 1024  SHUFFLE REVERSE_FR	   0.011654	   1.352113	!  0.651836	!  0.550751	!  0.728973	   1.809917	   1.716392	    207.43 % .!!!!!.
