
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of 2%.


Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11P	RADIX	[DPQ_11 % DPQ_18_11_21]

lreps: 801 with reps: 17

100 16  SHUFFLE REVERSE_BA	   0.000015	!  0.000808	   0.000671	   0.000629	   0.001274	    120.39 % .!!!.
100 16  STAGGER SORT______	   0.000015	   0.000195	   0.000228	   0.000130	   0.000120	     85.61 % 
100 16  SAWTOTH SORT______	   0.000014	   0.000196	   0.000238	   0.000130	   0.000120	     82.26 % 
100 16  _RANDOM SORT______	   0.000015	   0.000204	   0.000313	   0.000130	   0.000120	     65.09 % 
100 16  PLATEAU SORT______	   0.000015	   0.000171	   0.000170	   0.000130	   0.000120	    100.79 % ..
100 16  SHUFFLE SORT______	   0.000015	   0.000195	   0.000228	   0.000131	   0.000119	     85.65 % 
100 16  STAGGER DITHER____	   0.000015	   0.000895	   0.000821	   0.001017	   0.003900	    109.06 % .!.
100 16  SAWTOTH DITHER____	   0.000014	   0.000768	   0.000880	   0.000916	   0.003650	     87.29 % 
100 16  _RANDOM DITHER____	   0.000015	   0.000882	   0.000989	   0.001132	   0.003688	     89.16 % 
100 16  PLATEAU DITHER____	   0.000014	   0.000357	   0.000752	   0.000742	   0.003651	     47.55 % 
100 16  SHUFFLE DITHER____	   0.000015	!  0.000724	   0.000565	!  0.000463	   0.004229	    128.17 % .!!!.
100 64  STAGGER IDENT_____	   0.000015	   0.001024	   0.001098	   0.001216	   0.003763	     93.23 % 
100 64  SAWTOTH IDENT_____	   0.000015	   0.000891	   0.000907	   0.000643	   0.000400	     98.30 % 
100 64  _RANDOM IDENT_____	   0.000015	   0.000934	   0.000980	   0.001150	   0.003780	     95.40 % 
100 64  PLATEAU IDENT_____	   0.000015	   0.000195	   0.000228	   0.000131	   0.000120	     85.77 % 
100 64  SHUFFLE IDENT_____	   0.000015	   0.000433	   0.000325	   0.000222	!  0.000774	    133.45 % .!!!.
100 64  STAGGER REVERSE___	   0.000015	   0.000916	   0.000920	   0.001165	   0.003711	     99.48 % 
100 64  SAWTOTH REVERSE___	   0.000015	   0.000693	   0.000770	   0.001071	   0.000481	     90.10 % 
100 64  _RANDOM REVERSE___	   0.000015	   0.001013	   0.000974	   0.001175	   0.003785	    104.02 % ..
100 64  PLATEAU REVERSE___	   0.000015	   0.000390	   0.000447	   0.001010	   0.000181	     87.15 % 
100 64  SHUFFLE REVERSE___	   0.000015	   0.000569	   0.000623	   0.001322	   0.000780	     91.35 % 
100 64  STAGGER REVERSE_FR	   0.000015	   0.000707	   0.001060	   0.001190	   0.003709	     66.68 % 
100 64  SAWTOTH REVERSE_FR	   0.000015	   0.000889	   0.001196	   0.001050	   0.000630	     74.37 % 
100 64  _RANDOM REVERSE_FR	   0.000015	   0.000912	   0.000984	   0.001152	   0.003784	     92.75 % 
100 64  PLATEAU REVERSE_FR	   0.000015	   0.000517	   0.000676	   0.000558	   0.000440	     76.50 % 
100 64  SHUFFLE REVERSE_FR	   0.000014	   0.000565	   0.000677	   0.000621	   0.000865	     83.57 % 
