
--- Bentley Basher ---

Start warm up ...
warmup length: 10010 reps: 25
  End warm up (6000 iterations per sort).


-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)



                                    DPQ_11         DPQ_18_2         DPQ_18_11         RADIX         MARLIN         MERGE_TD         MERGE_BU        [DPQ_11 % DPQ_18_11]

1000 64  SAWTOTH REVERSE___  	  0.016530	  0.017607	  0.019556	  0.019925	  0.025810	  0.028682	  0.031370	     84.53 % 
1000 64  _RANDOM REVERSE___  	  0.015773	  0.017810	  0.016950	  0.018734	  0.034175	  0.050356	  0.052896	     93.06 % 
1000 64  PLATEAU REVERSE___  	  0.001401	  0.002931	  0.002922	  0.001131	  0.006143	  0.008661	  0.006724	     47.93 % 
1000 64  SHUFFLE REVERSE___  	  0.016584	  0.009019	  0.009542	  0.032252	  0.022881	  0.027352	  0.032350	    173.80 % .!!!!.
1000 64  STAGGER REVERSE_FR  	  0.027948	  0.021105	  0.021941	  0.021157	  0.025755	  0.025529	  0.026617	    127.38 % .!!!.
1000 64  SAWTOTH REVERSE_FR  	  0.019388	  0.017529	  0.020815	  0.019554	  0.023113	  0.023219	  0.024594	     93.15 % 
1000 64  _RANDOM REVERSE_FR  	  0.013671	  0.018172	  0.018408	  0.018681	  0.033834	  0.033371	  0.054108	     74.27 % 
1000 64  PLATEAU REVERSE_FR  	  0.004401	  0.003021	  0.002951	  0.000919	  0.006256	  0.005894	  0.005580	    149.14 % .!!!.
1000 64  SHUFFLE REVERSE_FR  	  0.018040	  0.009635	  0.010277	  0.030004	  0.019985	  0.020819	  0.022952	    175.55 % .!!!!.
1000 64  STAGGER REVERSE_BA  	  0.028087	  0.017911	  0.019955	  0.020948	  0.025945	  0.024202	  0.027279	    140.75 % .!!!.
1000 64  SAWTOTH REVERSE_BA  	  0.019748	  0.017033	  0.016146	  0.019577	  0.023098	  0.023118	  0.024576	    122.31 % .!!!.
1000 64  _RANDOM REVERSE_BA  	  0.014889	  0.019833	  0.017844	  0.018708	  0.033653	  0.033113	  0.054187	     83.44 % 
1000 64  PLATEAU REVERSE_BA  	  0.000858	  0.002856	  0.002895	  0.000924	  0.005848	  0.002447	  0.001900	     29.62 % 
1000 64  SHUFFLE REVERSE_BA  	  0.017075	  0.009713	  0.010345	  0.029823	  0.020323	  0.021481	  0.023159	    165.06 % .!!!!.
1000 64  STAGGER SORT______  	  0.000785	  0.006119	  0.005828	  0.001131	  0.004874	  0.002445	  0.001877	     13.47 % 
1000 64  SAWTOTH SORT______  	  0.000811	  0.007589	  0.007088	  0.000842	  0.005067	  0.002488	  0.001974	     11.45 % 
1000 64  _RANDOM SORT______  	  0.000846	  0.007233	  0.006407	  0.000836	  0.005088	  0.002657	  0.001908	     13.21 % 
1000 64  PLATEAU SORT______  	  0.000844	  0.002853	  0.002899	  0.000931	  0.006125	  0.002548	  0.001939	     29.13 % 
1000 64  SHUFFLE SORT______  	  0.000712	  0.006169	  0.005960	  0.000956	  0.004944	  0.002465	  0.001960	     11.95 % 
1000 64  STAGGER DITHER____  	  0.027225	  0.018510	  0.020145	  0.021065	  0.024513	  0.023328	  0.024491	    135.15 % .!!!.
1000 64  SAWTOTH DITHER____  	  0.014209	  0.018186	  0.018857	  0.018662	  0.023318	  0.020109	  0.019119	     75.35 % 
1000 64  _RANDOM DITHER____  	  0.016144	  0.020418	  0.018146	  0.018652	  0.034103	  0.033249	  0.054611	     88.97 % 
1000 64  PLATEAU DITHER____  	  0.005512	  0.005905	  0.005998	  0.018595	  0.024749	  0.022077	  0.023198	     91.89 % 
1000 64  SHUFFLE DITHER____  	  0.012791	  0.008479	  0.009105	  0.030520	  0.018465	  0.015089	  0.014479	    140.48 % .!!!.
