
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of 2 %.


Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11P	RADIX	[DPQ_11 % DPQ_18_11_21]

lreps: 1 with reps: 5

50000 1024  SHUFFLE REVERSE_BA	   0.021908	   1.533918	!  1.501132	!  1.503566	   1.962781	    102.18 % ..
50000 1024  STAGGER SORT______	!  0.019966	   0.052536	   0.073050	   0.032040	   0.044656	     71.92 % 
50000 1024  SAWTOTH SORT______	   0.021900	   0.050803	   0.079252	   0.030250	   0.042840	     64.10 % 
50000 1024  _RANDOM SORT______	   0.022009	   0.050536	   0.079257	   0.030425	   0.042673	     63.76 % 
50000 1024  PLATEAU SORT______	   0.021743	   0.044786	   0.079212	   0.030087	   0.042959	     56.54 % 
50000 1024  SHUFFLE SORT______	!  0.021519	   0.050997	   0.079550	   0.030847	   0.043273	     64.11 % 
50000 1024  STAGGER DITHER____	   0.022006	   4.396882	   5.445139	   5.386644	   1.633196	     80.75 % 
50000 1024  SAWTOTH DITHER____	   0.022071	   2.834571	   3.703682	   3.750456	   1.204765	     76.53 % 
50000 1024  _RANDOM DITHER____	   0.021996	   5.002338	   5.435310	   5.419556	   1.453907	     92.03 % 
50000 1024  PLATEAU DITHER____	   0.021991	   0.368121	   0.261991	   0.242460	   1.054254	    140.51 % .!!!.
50000 1024  SHUFFLE DITHER____	!  0.021589	   1.986784	   1.108496	   1.183369	   1.990418	    179.23 % .!!!!.
50000 4096  STAGGER IDENT_____	   0.021925	   6.372559	   6.345230	   6.282953	   1.858170	    100.43 % ..
50000 4096  SAWTOTH IDENT_____	   0.021923	   1.057605	   0.649616	   0.596669	   1.029218	    162.80 % .!!!!.
50000 4096  _RANDOM IDENT_____	   0.021901	   6.415825	   6.776471	   6.707689	   1.402977	     94.68 % 
50000 4096  PLATEAU IDENT_____	   0.021924	   0.050728	   0.079141	   0.030124	   0.042720	     64.10 % 
50000 4096  SHUFFLE IDENT_____	!  0.021503	   1.016026	   0.401553	   0.372219	!  1.627355	    253.02 % .!!!!!.
50000 4096  STAGGER REVERSE___	   0.021899	   6.321875	   6.372628	   6.322117	   1.840518	     99.20 % 
50000 4096  SAWTOTH REVERSE___	   0.021983	   1.129439	   0.721013	   0.668180	   1.091762	    156.65 % .!!!.
50000 4096  _RANDOM REVERSE___	!  0.020900	   6.395063	   6.843724	   6.743855	   1.403638	     93.44 % 
50000 4096  PLATEAU REVERSE___	   0.020245	   0.121433	   0.046469	   0.037794	!  0.043142	    261.32 % .!!!!!.
50000 4096  SHUFFLE REVERSE___	   0.021939	   0.986359	   0.601761	   0.544245	!  1.764042	    163.91 % .!!!!.
50000 4096  STAGGER REVERSE_FR	   0.021902	   6.310346	   6.573988	   6.549115	   1.827810	     95.99 % 
50000 4096  SAWTOTH REVERSE_FR	   0.020128	   1.099023	   0.710998	   0.654419	   1.066726	    154.57 % .!!!.
50000 4096  _RANDOM REVERSE_FR	   0.021893	   6.425128	   6.825468	   6.778276	   1.419513	     94.13 % 
50000 4096  PLATEAU REVERSE_FR	   0.021910	   0.337968	   0.050402	   0.036095	   0.042749	    670.55 % .!!!!!.
50000 4096  SHUFFLE REVERSE_FR	   0.022082	   1.060834	   0.504849	   0.474221	!  1.781918	    210.13 % .!!!!!.
50000 4096  STAGGER REVERSE_BA	   0.021938	   6.377605	   6.493037	   6.483803	   1.847969	     98.22 % 
50000 4096  SAWTOTH REVERSE_BA	   0.021997	   1.104904	   0.717880	   0.655145	   1.071471	    153.91 % .!!!.
