
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

CHECK_SORTED: false
USE_BOTTOM_UP: false
Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)


Length Sub-size  Builder Tweaker	BASELINE	DPQ_18_11	DPQ_18_11P	DPQ_11	RADIX	MARLIN	PEEK_SORT	DPQ_18_11_E	MARLIN_M2	[DPQ_18_11 % DPQ_18_11P]

lreps: 801 with reps: 17

50 16  SAWTOTH DITHER____	   0.000015	   0.000754	   0.000296	   0.000415	   0.000822	   0.000501	   0.000492	   0.000924	   0.000703	    254.99 % .!!!!!.
50 16  _RANDOM DITHER____	   0.000015	   0.000752	   0.000407	   0.000517	   0.001923	   0.000529	   0.000558	   0.000925	   0.000745	    184.81 % .!!!!.
50 16  PLATEAU DITHER____	   0.000015	   0.000773	   0.000253	   0.000297	   0.000767	   0.000393	   0.000375	   0.000954	   0.000542	    305.08 % .!!!!!.
50 16  SHUFFLE DITHER____	   0.000015	   0.000809	   0.000196	   0.000296	   0.000787	   0.000321	   0.000323	   0.001007	   0.000449	    412.02 % .!!!!!.
50 64  STAGGER IDENT_____	   0.000015	   0.000736	   0.000418	   0.000418	   0.001824	   0.000529	   0.000534	   0.000916	   0.000736	    176.08 % .!!!!.
50 64  SAWTOTH IDENT_____	   0.000015	   0.000837	   0.000089	   0.000121	   0.000193	   0.000136	   0.000274	   0.001018	   0.000213	    944.96 % .!!!!!.
50 64  _RANDOM IDENT_____	   0.000015	   0.000753	   0.000415	   0.000495	   0.001951	   0.000544	   0.000578	   0.000945	   0.000769	    181.53 % .!!!!.
50 64  PLATEAU IDENT_____	   0.000015	   0.000820	   0.000088	   0.000121	   0.000192	   0.000136	   0.000273	   0.001013	   0.000212	    929.98 % .!!!!!.
50 64  SHUFFLE IDENT_____	   0.000015	   0.000818	   0.000127	!  0.000218	!  0.000415	!  0.000283	   0.000281	   0.001013	!  0.000396	    645.40 % .!!!!!.
50 64  STAGGER REVERSE___	   0.000015	   0.000743	   0.000419	   0.000385	   0.001918	   0.000534	   0.000582	   0.000926	   0.000765	    177.45 % .!!!!.
50 64  SAWTOTH REVERSE___	   0.000015	   0.000675	   0.000417	   0.000243	   0.000224	   0.000493	   0.000290	   0.000837	   0.000829	    162.11 % .!!!!.
50 64  _RANDOM REVERSE___	   0.000015	   0.000762	   0.000447	   0.000584	   0.001945	   0.000561	   0.000592	   0.000943	   0.000802	    170.32 % .!!!!.
50 64  PLATEAU REVERSE___	   0.000015	   0.000668	   0.000417	   0.000243	   0.000224	   0.000494	   0.000289	   0.000844	   0.000824	    160.08 % .!!!!.
50 64  SHUFFLE REVERSE___	   0.000015	   0.000681	   0.000426	   0.000264	!  0.000450	   0.000611	!  0.000565	   0.000852	   0.000943	    159.96 % .!!!.
50 64  STAGGER REVERSE_FR	   0.000015	   0.000726	   0.000432	   0.000352	   0.001856	   0.000519	   0.000536	   0.000900	   0.000735	    167.95 % .!!!!.
50 64  SAWTOTH REVERSE_FR	   0.000015	   0.000801	   0.000225	   0.000220	   0.000350	   0.000310	   0.000603	   0.000983	   0.000509	    356.56 % .!!!!!.
50 64  _RANDOM REVERSE_FR	   0.000015	   0.000760	   0.000411	   0.000529	   0.001968	   0.000549	   0.000583	   0.000938	   0.000777	    184.86 % .!!!!.
50 64  PLATEAU REVERSE_FR	   0.000015	   0.000811	   0.000224	   0.000220	   0.000351	   0.000310	   0.000603	   0.000986	   0.000504	    361.33 % .!!!!!.
50 64  SHUFFLE REVERSE_FR	   0.000015	   0.000801	   0.000256	   0.000246	   0.000471	   0.000444	   0.000659	   0.000993	   0.000665	    313.55 % .!!!!!.
50 64  STAGGER REVERSE_BA	   0.000015	   0.000751	   0.000438	   0.000380	   0.001859	   0.000549	   0.000549	   0.000932	   0.000761	    171.42 % .!!!!.
50 64  SAWTOTH REVERSE_BA	   0.000015	   0.000783	   0.000185	   0.000181	   0.000375	   0.000316	   0.000616	   0.000977	   0.000508	    424.43 % .!!!!!.
50 64  _RANDOM REVERSE_BA	   0.000015	   0.000760	   0.000430	   0.000496	   0.001990	   0.000550	   0.000588	   0.000943	   0.000781	    176.53 % .!!!!.
50 64  PLATEAU REVERSE_BA	   0.000015	   0.000786	   0.000184	   0.000181	   0.000374	   0.000314	   0.000619	   0.000965	   0.000500	    427.06 % .!!!!!.
50 64  SHUFFLE REVERSE_BA	   0.000015	   0.000792	   0.000217	   0.000251	   0.000494	   0.000449	   0.000616	   0.000975	   0.000671	    364.71 % .!!!!!.
50 64  STAGGER SORT______	   0.000015	   0.000800	   0.000089	   0.000128	   0.000193	   0.000135	   0.000274	   0.000978	   0.000215	    899.60 % .!!!!!.
50 64  SAWTOTH SORT______	   0.000015	   0.000820	   0.000088	   0.000121	   0.000193	   0.000135	   0.000273	   0.001020	   0.000215	    927.11 % .!!!!!.
50 64  _RANDOM SORT______	   0.000015	   0.000816	   0.000089	   0.000123	   0.000193	   0.000135	   0.000273	   0.001016	   0.000213	    921.26 % .!!!!!.
50 64  PLATEAU SORT______	   0.000015	   0.000819	   0.000089	   0.000121	   0.000192	   0.000135	   0.000272	   0.001018	   0.000215	    923.46 % .!!!!!.
50 64  SHUFFLE SORT______	   0.000015	   0.000825	   0.000088	   0.000121	   0.000194	   0.000135	   0.000273	   0.001013	   0.000213	    935.96 % .!!!!!.
50 64  STAGGER DITHER____	   0.000015	   0.000738	   0.000420	   0.000418	   0.001824	   0.000525	   0.000529	   0.000911	   0.000733	    175.78 % .!!!!.
50 64  SAWTOTH DITHER____	   0.000015	   0.000816	   0.000142	   0.000254	   0.000739	   0.000259	   0.000306	   0.001008	   0.000374	    575.24 % .!!!!!.
50 64  _RANDOM DITHER____	   0.000015	   0.000760	   0.000422	   0.000528	   0.001951	   0.000540	   0.000573	   0.000944	   0.000764	    180.12 % .!!!!.
50 64  PLATEAU DITHER____	   0.000015	   0.000819	   0.000142	   0.000254	   0.000741	   0.000259	   0.000305	   0.001014	   0.000372	    578.40 % .!!!!!.
50 64  SHUFFLE DITHER____	   0.000015	   0.000815	   0.000151	   0.000251	   0.000761	   0.000286	   0.000309	   0.001012	   0.000408	    539.69 % .!!!!!.
lreps: 401 with reps: 14

100 1  STAGGER IDENT_____	   0.000023	   0.000788	   0.000527	   0.000932	   0.000509	   0.000516	   0.000858	   0.001387	   0.000754	    149.59 % .!!!.
100 1  SAWTOTH IDENT_____	   0.000022	   0.000120	   0.000151	   0.000120	   0.000233	   0.000308	   0.000485	   0.000126	   0.000549	     79.24 % 
100 1  _RANDOM IDENT_____	   0.000022	   0.000120	   0.000151	   0.000120	   0.000231	   0.000309	   0.000486	   0.000126	   0.000551	     78.92 % 
100 1  PLATEAU IDENT_____	   0.000022	   0.000128	   0.000149	   0.000120	   0.000213	   0.000293	   0.000485	   0.000136	   0.000515	     86.03 % 
100 1  SHUFFLE IDENT_____	   0.000022	   0.000767	   0.000150	   0.000197	   0.000214	   0.000269	   0.000486	   0.000960	   0.000473	    510.38 % .!!!!!.
100 1  STAGGER REVERSE___	   0.000022	   0.001175	   0.001137	   0.000851	   0.000572	   0.001308	   0.000801	   0.001433	   0.001955	    103.36 % ..
100 1  SAWTOTH REVERSE___	   0.000022	   0.000119	   0.000152	   0.000121	   0.000233	   0.000305	   0.000486	   0.000126	   0.000550	     78.50 % 
100 1  _RANDOM REVERSE___	   0.000022	   0.000120	   0.000152	   0.000119	   0.000231	   0.000307	   0.000486	   0.000126	   0.000557	     78.79 % 
100 1  PLATEAU REVERSE___	   0.000022	   0.000123	   0.000235	   0.000123	   0.000221	   0.000320	   0.000392	   0.000128	   0.000581	     52.43 % 
100 1  SHUFFLE REVERSE___	   0.000022	   0.001031	   0.001352	   0.000522	   0.000271	   0.001028	   0.000531	   0.001315	   0.001654	     76.28 % 
100 1  STAGGER REVERSE_FR	   0.000022	   0.001020	   0.000931	   0.000995	   0.000542	   0.000889	   0.000683	   0.001458	   0.001348	    109.61 % .!.
100 1  SAWTOTH REVERSE_FR	   0.000022	   0.000120	   0.000150	   0.000120	   0.000234	   0.000305	   0.000486	   0.000128	   0.000555	     79.92 % 
100 1  _RANDOM REVERSE_FR	   0.000022	   0.000119	   0.000151	   0.000119	   0.000234	   0.000305	   0.000486	   0.000127	   0.000555	     79.00 % 
100 1  PLATEAU REVERSE_FR	   0.000022	   0.000130	   0.000205	   0.000122	   0.000225	   0.000310	   0.000661	   0.000143	   0.000575	     63.43 % 
100 1  SHUFFLE REVERSE_FR	   0.000022	   0.000697	   0.000552	   0.000522	   0.000506	   0.000640	   0.000653	   0.000884	   0.001051	    126.32 % .!!!.
100 1  STAGGER REVERSE_BA	   0.000022	   0.000933	   0.000747	   0.000885	   0.000549	   0.000896	   0.000675	   0.001338	   0.001349	    124.89 % .!!!.
100 1  SAWTOTH REVERSE_BA	   0.000022	   0.000120	   0.000152	   0.000120	   0.000231	   0.000306	   0.000486	   0.000126	   0.000552	     79.27 % 
100 1  _RANDOM REVERSE_BA	   0.000022	   0.000120	$   0.000157	   0.000119	   0.000232	   0.000302	   0.000489	   0.000128	   0.000556	     76.23 % 
100 1  PLATEAU REVERSE_BA	   0.000022	   0.000128	   0.000149	   0.000121	   0.000211	   0.000288	   0.000487	   0.000136	   0.000518	     86.00 % 
